Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,,PDFBOX-2888,setAllSecurityToBeRemoved(true) before calling protect() should have no effect,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,7/16/2015 20:27,3/17/2016 19:08,
Sub-task,,PDFBOX-2889,PDFBOX-2333 Support appearance generation for choice fields,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,7/17/2015 6:16,7/20/2015 20:34,
Bug,,PDFBOX-2890,Wrapped lines in PDF files not processed correctly,Unassigned,James Baker,Major,Closed,Invalid,7/17/2015 9:03,7/17/2015 18:59,
Improvement,,PDFBOX-2891,Use animal sniffer maven plugin to detect non java 5 api usage within the 1.8 branch,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,7/18/2015 16:32,1/18/2016 12:01,
Improvement,,PDFBOX-2892,Invisible signature annotation violates PDF/A,Tilman Hausherr,Petras,Major,Closed,Fixed,7/18/2015 16:41,3/17/2016 19:07,
Improvement,,PDFBOX-2893,Simplify COSStream encoding and decoding,John Hewson,John Hewson,Blocker,Closed,Fixed,7/18/2015 18:38,3/17/2016 19:07,
Improvement,,PDFBOX-2894,Remove COSStreamArray / SequenceRandomAccessRead,John Hewson,John Hewson,Major,Closed,Fixed,7/20/2015 20:05,3/17/2016 19:06,
Improvement,,PDFBOX-2895,Enhance test coverage for appearance generation,Unassigned,Maruan Sahyoun,Major,Open,Unresolved,7/20/2015 20:54,3/25/2017 18:09,
Bug,,PDFBOX-2896,"XMPBox not creating valid ""title"" entry in DublinCoreSchema in trunk",Unassigned,Tim Allison,Minor,Closed,Fixed,7/21/2015 1:27,3/17/2016 19:07,
Bug,,PDFBOX-2897,Preflight not flagging bad xml generated by XMPBox for dc:title,Unassigned,Tim Allison,Minor,Open,Unresolved,7/21/2015 1:30,3/25/2017 18:09,
Bug,,PDFBOX-2898,Incorrect key for color space in PDGroup,Tilman Hausherr,Evgeniy Muravitskiy,Major,Closed,Fixed,7/21/2015 10:31,3/17/2016 19:07,
Bug,,PDFBOX-2899,Text not rendered in mode 7 (2),Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/21/2015 16:14,2/10/2017 16:39,
Sub-task,,PDFBOX-2900,PDFBOX-2530 PDF Debugger doesn't print inline images correctly,khyrul bashar,Andrea Vacondio,Major,Closed,Fixed,7/22/2015 14:03,3/17/2016 19:08,
Bug,,PDFBOX-2901,High CPU load and OutOfMemoryError when rendering shading,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/22/2015 16:21,11/2/2016 10:35,
Improvement,,PDFBOX-2902,Getting bounding box of words from PDFs,Unassigned,sagnik,Minor,Closed,Not A Problem,7/22/2015 23:15,7/23/2015 5:55,
Bug,,PDFBOX-2903,ClassCastException at PDFParser:667,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/24/2015 14:57,1/18/2016 12:01,
Bug,,PDFBOX-2904,IndexOutOfBoundsException in CFFType1Font.getType2CharString(),Unassigned,Tilman Hausherr,Major,Closed,Fixed,7/27/2015 15:42,3/17/2016 19:07,
Improvement,,PDFBOX-2905,Replace PDFReader with PDFDebugger,Andreas Lehmkühler,John Hewson,Blocker,Closed,Fixed,7/27/2015 18:12,3/17/2016 19:07,
Bug,,PDFBOX-2906,NullPointerException in PDFStreamEngine.showText,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/28/2015 16:48,3/17/2016 19:08,
Bug,,PDFBOX-2907,Non-termination in PDResources.createKey(),Unassigned,Falko Riemenschneider,Major,Closed,Duplicate,7/29/2015 10:03,7/29/2015 21:28,
Bug,,PDFBOX-2908,PDFTextStripper.writeText is slow,Unassigned,V,Major,Closed,Won't Fix,7/29/2015 16:06,8/5/2015 0:35,
