Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
New Feature,,PDFBOX-3023,Support additional Default Appearance parameters for interactive forms,Maruan Sahyoun,Maruan Sahyoun,Major,Open,Unresolved,10/14/2015 10:02,10/14/2015 23:25,
Bug,,PDFBOX-3024,Preflight validation call PDType0Font.clear at the wrong time,Tilman Hausherr,Guillaume Monteils,Major,Closed,Fixed,10/14/2015 15:24,4/25/2016 17:24,
Bug,,PDFBOX-3025,Test case for unwanted spaces in text extraction,Tilman Hausherr,Ben McCann,Major,Closed,Fixed,10/14/2015 21:31,3/17/2016 19:07,
Bug,,PDFBOX-3026,Acrobat Reader 7.0 cannot open created files,Unassigned,Kevin Ternes,Major,Open,Unresolved,10/14/2015 21:57,10/20/2015 16:00,
Bug,,PDFBOX-3027,Incorrect enumeration of conformances for PDFAIdentificationSchema,Maruan Sahyoun,Evgeniy Muravitskiy,Major,Closed,Fixed,10/15/2015 14:55,3/17/2016 19:06,
Bug,,PDFBOX-3028,Text extraction broken for jbl example,Unassigned,Ben McCann,Major,Open,Unresolved,10/15/2015 15:32,10/21/2015 20:56,
Bug,,PDFBOX-3029,Can't overwrite property in PDFIdentificationSchema,Unassigned,Maruan Sahyoun,Major,Closed,Duplicate,10/15/2015 17:30,3/15/2016 17:13,
Task,,PDFBOX-3030,Enhance documentation for PDFBox 2.0.0,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,10/15/2015 19:20,4/27/2016 17:04,
Bug,,PDFBOX-3031,converting PDF to PNG image is scrammbled,Tilman Hausherr,Joseph Jezerinac,Major,Closed,Not A Problem,10/16/2015 1:47,10/16/2015 18:38,
Bug,,PDFBOX-3032,Text extraction - extra spacing example,Unassigned,Ben McCann,Major,Open,Unresolved,10/16/2015 1:50,10/19/2015 16:24,
Bug,,PDFBOX-3033,Usage methods references incorrect package,Tilman Hausherr,Ben McCann,Minor,Closed,Fixed,10/16/2015 2:42,3/17/2016 19:07,
Bug,,PDFBOX-3034,Newly created XRef stream has direct root objects,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/16/2015 16:06,3/18/2016 16:54,
Bug,,PDFBOX-3035,Files with missing xref table must fail,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/17/2015 11:35,1/18/2016 12:01,
Bug,,PDFBOX-3036,Adding field additional actions when there are widget additional actions will overwrite,Unassigned,Maruan Sahyoun,Minor,Open,Unresolved,10/18/2015 10:59,10/18/2015 10:59,
Bug,,PDFBOX-3037,Text extraction decodes image files,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/20/2015 16:08,3/17/2016 19:08,
Bug,,PDFBOX-3038,Text extraction shows glyphs with zero height,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/20/2015 16:16,3/17/2016 19:07,
Bug,,PDFBOX-3039,FileSystemFontProvider: java.lang.IllegalArgumentException: Key too long: /usr/local/share/fonts/chromeos/notofonts-20140815/NotoSansGujaratiUI-Regular.ttf,Unassigned,Adam Hooper,Blocker,Closed,Duplicate,10/20/2015 18:10,10/20/2015 18:17,
Task,,PDFBOX-3040,Move website to local build tool,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,10/20/2015 18:40,3/17/2016 19:08,
Bug,,PDFBOX-3041,Wrong default type in Xref stream W0 element,Tilman Hausherr,Andrea Vacondio,Major,Closed,Fixed,10/21/2015 15:34,1/18/2016 12:01,
Bug,,PDFBOX-3042,Bad space calculation in text extraction,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/21/2015 16:46,3/17/2016 19:07,
Bug,,PDFBOX-3043,Problem extracting copyright symbol?,Unassigned,Ben McCann,Major,Closed,Not A Problem,10/21/2015 23:29,3/17/2016 19:15,
Bug,,PDFBOX-3044,Improve text extraction tests,Tilman Hausherr,Ben McCann,Major,Open,Unresolved,10/22/2015 3:22,11/26/2015 16:25,
Bug,,PDFBOX-3045,File that read fine in 1.8 does not in 2.0,Unassigned,Fred Andrews,Major,Closed,Duplicate,10/22/2015 5:45,10/22/2015 17:43,
Bug,,PDFBOX-3046,Specific PDF prints really (REALLY) slow,Unassigned,Teon Metselaar,Major,Closed,Fixed,10/22/2015 6:57,5/3/2017 19:11,
Improvement,,PDFBOX-3047,LTV-fix offline signature,Unassigned,Ralf Hauser,Major,Open,Unresolved,10/22/2015 18:38,11/5/2015 16:54,
Bug,,PDFBOX-3048,Download URLs on the website don't work,Maruan Sahyoun,Luke Nezda,Trivial,Closed,Fixed,10/22/2015 22:54,3/17/2016 19:26,
Bug,,PDFBOX-3049,"Problem opening PDF, Unterminated string",Unassigned,Rainer Jung,Major,Closed,Invalid,10/23/2015 7:17,10/23/2015 10:07,
Bug,,PDFBOX-3050,Java.lang.NoClassDefFoundError: org.apache.pdfbox.pdmodel.PDPage (initialization failure)' (CHARACTER),Unassigned,LaToya Green,Major,Closed,Invalid,10/23/2015 14:50,10/28/2015 0:09,
Sub-task,,PDFBOX-3051,PDFBOX-3058 COSArray.getObject() incorrect handling of indirect reference to COSNull,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/24/2015 12:20,1/18/2016 12:01,
Sub-task,,PDFBOX-3052,PDFBOX-3058 NPE in PDFStreamEngine.ShowText when no font set,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/24/2015 13:28,3/17/2016 19:08,
Sub-task,,PDFBOX-3053,PDFBOX-3058 Text extraction fails with type 3 fonts,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/24/2015 14:33,3/17/2016 19:06,
Bug,,PDFBOX-3054,"Getting Unicode mapping error, file was Ok in 1.8",Tilman Hausherr,Fred Andrews,Major,Closed,Duplicate,10/24/2015 18:39,10/24/2015 19:26,
Improvement,,PDFBOX-3055,Change visibility of ExtractText constructor to public,Unassigned,Michael Goddard,Minor,Closed,Not A Problem,10/24/2015 18:45,10/25/2015 14:01,
Bug,,PDFBOX-3056,Make PDFTextStreamEngine public,Unassigned,Ben McCann,Major,Closed,Won't Fix,10/24/2015 19:30,1/1/2016 2:55,
Sub-task,,PDFBOX-3057,PDFBOX-3058 NPE in CFFParser.parseType1Dicts(),Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/24/2015 20:13,3/17/2016 19:07,
Task,,PDFBOX-3058,Support TIKA Migration to PDFBox 2.0,Andreas Lehmkühler,Maruan Sahyoun,Major,Closed,Fixed,10/25/2015 8:54,3/28/2016 19:51,
Sub-task,,PDFBOX-3059,PDFBOX-3058 java.io.IOException: Error: Unknown annotation type COSNull{},Unassigned,Maruan Sahyoun,Major,Closed,Duplicate,10/25/2015 9:20,3/17/2016 19:14,
Sub-task,,PDFBOX-3060,PDFBOX-3058 Catalog cannot be found,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,10/25/2015 11:23,1/18/2016 12:01,
Sub-task,,PDFBOX-3061,PDFBOX-3058 Word concatenation in 2.0 not in 1.8,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/25/2015 18:20,3/17/2016 19:08,
Sub-task,,PDFBOX-3062,PDFBOX-3058 Text extraction and height different in 2.0,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/26/2015 18:16,3/17/2016 19:07,
Bug,,PDFBOX-3063,Appears that getStrokingColor/getNonStrokingColor are broken,Unassigned,Joel Hirsh,Major,Closed,Cannot Reproduce,10/27/2015 6:18,11/3/2015 21:10,
Improvement,,PDFBOX-3064,Upgrade bouncycastle to 1.53,Unassigned,Chida AJ,Minor,Closed,Cannot Reproduce,10/27/2015 7:04,10/30/2015 5:06,
Improvement,,PDFBOX-3065,Right now PDFBOX does not permit to sign multiple files while calling an external signing service.,Tilman Hausherr,Andrea Paternesi,Major,Closed,Fixed,10/27/2015 10:54,3/25/2017 18:12,
Bug,,PDFBOX-3066,"Text extraction garbled in this file, was OK in 1.8",Unassigned,Joel Hirsh,Major,Open,Unresolved,10/27/2015 19:03,3/25/2017 18:09,
Bug,,PDFBOX-3067,"Text strings being returned as single characters, regression from version 1.8",Tilman Hausherr,Joel Hirsh,Major,Closed,Fixed,10/28/2015 2:48,3/17/2016 19:08,
Sub-task,,PDFBOX-3068,PDFBOX-3058 Null metadata in 2.0 in some files that had metadata in 1.8.10 with old parser,Tilman Hausherr,Tim Allison,Major,Closed,Fixed,10/28/2015 15:44,1/18/2016 12:01,
Improvement,,PDFBOX-3069,Add code for CCITT compression,Tilman Hausherr,Christian Gawron,Minor,Closed,Fixed,10/28/2015 17:13,3/25/2017 18:12,
Bug,,PDFBOX-3070,Incorrect DefaultRGB color space obtain,Tilman Hausherr,Evgeniy Muravitskiy,Major,Closed,Fixed,10/29/2015 11:00,3/17/2016 19:06,
Bug,,PDFBOX-3071,Possible thread safety issue RE: Can't read the embedded Type1C font ILCMJJ+TimesNewRomanPSMT,Unassigned,Stan R,Major,Open,Unresolved,10/29/2015 15:38,10/30/2015 20:47,
Improvement,,PDFBOX-3072,Allow missing page type,Tilman Hausherr,Andrea Vacondio,Minor,Closed,Fixed,10/30/2015 14:37,3/17/2016 19:08,
Bug,,PDFBOX-3073,Change to use media box for page size instead of cropbox.,Unassigned,Daniel Persson,Minor,Closed,Invalid,10/30/2015 19:11,10/30/2015 20:02,
New Feature,,PDFBOX-3074,Mark transparency groups,Unassigned,Daniel Persson,Minor,Closed,Won't Fix,10/30/2015 19:12,10/30/2015 19:49,
Bug,,PDFBOX-3075,Changed to the getHeight function for fonts so it will return a more accurate height,Unassigned,Daniel Persson,Minor,Closed,Won't Fix,10/30/2015 19:13,10/30/2015 21:28,
Bug,,PDFBOX-3076,"Type3 Font that is getting zero height text, even in latest 2.0",Tilman Hausherr,Joel Hirsh,Major,Closed,Fixed,10/31/2015 15:49,3/17/2016 19:08,
Bug,,PDFBOX-3077,Type 3 Fonts getting incorrect values for widthofspace,Unassigned,Joel Hirsh,Major,Closed,Fixed,10/31/2015 15:58,10/31/2015 23:00,
Bug,,PDFBOX-3078,"Text height coming in at half size, regression from 1.8",Unassigned,Joel Hirsh,Major,Closed,Fixed,11/1/2015 15:31,3/17/2016 19:42,
Improvement,,PDFBOX-3079,Extracting text between bookmarks not working,Unassigned,rey bernal,Major,Open,Unresolved,11/1/2015 21:18,11/3/2015 6:56,
Improvement,,PDFBOX-3080,TrueTypeFont synchronization,Unassigned,ccouturi,Minor,Open,Unresolved,11/2/2015 13:40,3/25/2017 18:09,
Bug,,PDFBOX-3081,Create example to draw glyph sizes in rendered images,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/2/2015 17:23,3/17/2016 19:07,
Bug,,PDFBOX-3082,High memory consumption while building font cache,Tilman Hausherr,Maruan Sahyoun,Blocker,Closed,Fixed,11/3/2015 1:58,3/17/2016 19:08,
Bug,,PDFBOX-3083,Form fields are missing when rendering,Tilman Hausherr,Atthapon Junpun-eak,Critical,Closed,Fixed,11/3/2015 6:25,3/17/2016 19:07,
Improvement,,PDFBOX-3084,More generic PDPageContentStream constructor,Tilman Hausherr,Michael Klink,Major,Closed,Fixed,11/3/2015 10:21,3/17/2016 19:08,
Bug,,PDFBOX-3085,"New version of pdfbox(pdfbox-app-2.0.0-20151102.210538-1778.jar) throwing run-time error while calling PDFPrintable(PDDocument document, Scaling scaling, boolean showPageBorder).",Unassigned,Gayan Wijenayaka,Major,Closed,Duplicate,11/3/2015 10:36,4/19/2016 10:14,
Bug,,PDFBOX-3086,"OutOfMemory while building font cache caused by ""PingFang"" font (Mac OS X El Capitan)",Unassigned,Florian Polter,Major,Closed,Duplicate,11/3/2015 10:53,11/5/2015 20:10,
Bug,,PDFBOX-3087,Metadata stream should not be compressed,Tilman Hausherr,Tilman Hausherr,Minor,Closed,Fixed,11/3/2015 16:59,1/18/2016 12:01,
Improvement,,PDFBOX-3088,Cache glyph table to optimize concurrent access,Tilman Hausherr,ccouturi,Minor,Closed,Fixed,11/4/2015 16:36,3/17/2016 19:06,
Task,,PDFBOX-3089,Investigate why glyph path caching does not always cache glyph accesses,Andreas Lehmkühler,Tilman Hausherr,Minor,Closed,Fixed,11/5/2015 17:22,3/25/2017 18:12,
Bug,,PDFBOX-3090,ArrayIndexOutOfBoundsException in CmapSubtable.processSubtype2,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/5/2015 17:38,3/17/2016 19:07,
Bug,,PDFBOX-3091,java.lang.ClassCastException: org.apache.fontbox.cff.CharStringCommand cannot be cast to java.lang.Integer,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/5/2015 17:38,3/17/2016 19:07,
Bug,,PDFBOX-3092,Format 4 TTF cmap table is parsed incorrectly,Unassigned,John Hewson,Major,Open,Unresolved,11/6/2015 0:10,3/25/2017 18:09,
Bug,,PDFBOX-3093,Exception in TTFParser,Tilman Hausherr,Timur Kamalov,Major,Closed,Fixed,11/6/2015 9:07,3/17/2016 19:07,
Bug,,PDFBOX-3094,Merging PDFs with a Form is not retaining the field name values,Maruan Sahyoun,srinivas valisekkagari,Major,Closed,Fixed,11/6/2015 14:58,3/17/2016 19:08,
Bug,,PDFBOX-3095,Space size NaN,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/9/2015 17:10,3/17/2016 19:08,
Bug,,PDFBOX-3096,Lack of Bidi (Arabic / Hebrew) text reordering in text extracted with PDFbox,Unassigned,TOMER MAHLIN,Major,Open,Unresolved,11/10/2015 11:40,11/10/2015 14:29,
Bug,,PDFBOX-3097,ClassCastException in Axial / Radial shading when object reference in extends,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/10/2015 16:52,1/18/2016 12:01,
Improvement,,PDFBOX-3098,getFontFile2() doesn't extract a valid font file for CID Type 2 fonts,Unassigned,Ch. Schlatter,Major,Closed,Won't Fix,11/11/2015 11:34,11/11/2015 18:32,
Improvement,,PDFBOX-3099,Find suitable PDFont,Unassigned,David KELLER,Major,Closed,Invalid,11/11/2015 21:21,11/12/2015 0:59,
Bug,,PDFBOX-3100,Allow flexible calling of PageDrawer,Unassigned,simon steiner,Major,Closed,Won't Fix,11/12/2015 9:04,11/16/2015 10:33,
Bug,,PDFBOX-3101,Chinese character displayed with bad quality,Unassigned,ZHOU Jing,Major,Closed,Not A Problem,11/12/2015 9:05,11/13/2015 18:26,
Bug,,PDFBOX-3102,getGlyphs returns empty array now,Tilman Hausherr,simon steiner,Major,Closed,Fixed,11/12/2015 9:50,3/17/2016 19:07,
Improvement,,PDFBOX-3103,Slow performance when printing PDF (fix provided),Tilman Hausherr,Tomasz Pawlak,Major,Closed,Fixed,11/12/2015 10:46,3/17/2016 19:07,
Improvement,,PDFBOX-3104,Font Cache is taking a lot of time,Unassigned,sankar,Major,Closed,Invalid,11/12/2015 12:32,11/12/2015 18:16,
Bug,,PDFBOX-3105,Image with mask missing in rendering,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/12/2015 17:44,3/17/2016 19:08,
Bug,,PDFBOX-3106,Allow access to font data,John Hewson,simon steiner,Major,Closed,Fixed,11/13/2015 14:34,3/17/2016 19:07,
Bug,,PDFBOX-3107,Asterisk character not displaying properly in Adobe Reader,Tilman Hausherr,Tilman Hausherr,Blocker,Closed,Fixed,11/14/2015 13:59,3/17/2016 19:08,
Bug,,PDFBOX-3108,Font cache is always rebuilt when font skipped,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/14/2015 22:01,3/17/2016 19:08,
Bug,,PDFBOX-3109,DrawPrintTextLocations with incorrect coordinates when cropbox,Unassigned,Tilman Hausherr,Major,Closed,Fixed,11/15/2015 17:10,3/17/2016 19:07,
Bug,,PDFBOX-3110,Extract by beads doesn't work,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/16/2015 13:43,1/18/2016 12:01,
New Feature,,PDFBOX-3111,Replicate Acrobat behavior when merging PDFs with interactive forms,Unassigned,Maruan Sahyoun,Major,Open,Unresolved,11/16/2015 16:35,2/1/2016 7:17,
Sub-task,,PDFBOX-3112,PDFBOX-3058 Avoid crazy /Length1 values in font descriptor,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/16/2015 18:52,2/8/2017 18:56,
Bug,,PDFBOX-3113,Scratch file already closed using PDStream,Unassigned,simon steiner,Major,Closed,Not A Problem,11/17/2015 13:44,11/18/2015 19:23,
Bug,,PDFBOX-3114,Visible signatures in different pages changes previous revision,Tilman Hausherr,Luca Battistelli,Blocker,Closed,Fixed,11/17/2015 14:20,9/7/2016 17:39,
Improvement,,PDFBOX-3115,Fix high memory usage during signing,Andreas Lehmkühler,Eldar Gabdullin,Major,Closed,Fixed,11/18/2015 11:43,3/17/2016 19:06,
Bug,,PDFBOX-3116,COSNumber NumberFormatException for large number,Andreas Lehmkühler,Andrei T,Minor,Closed,Fixed,11/18/2015 13:29,3/17/2016 19:06,
Bug,,PDFBOX-3117,Left margin cut off when printing,Unassigned,Tilman Hausherr,Major,Open,Unresolved,11/18/2015 22:49,7/9/2016 11:32,
Bug,,PDFBOX-3118,Drop shadow missing,Unassigned,simon steiner,Major,Closed,Duplicate,11/19/2015 14:38,11/19/2015 16:58,
Sub-task,,PDFBOX-3119,"PDFBOX-3058 Text extraction partially garbled in this file, was OK in 1.8",Tilman Hausherr,Tilman Hausherr,Major,Closed,Duplicate,11/19/2015 17:16,1/2/2016 22:18,
Bug,,PDFBOX-3120,ArrayIndexOutOfBoundsException in CodespaceRange.isPartialMatch / CMap is invalid,Andreas Lehmkühler,Tilman Hausherr,Major,Closed,Fixed,11/19/2015 17:54,3/17/2016 19:07,
Improvement,,PDFBOX-3121,Buffer save(File),Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/19/2015 18:06,3/23/2017 17:49,
Improvement,,PDFBOX-3122,IllegalArgumentException: dash lengths all zero,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/19/2015 19:01,3/17/2016 19:06,
Sub-task,,PDFBOX-3123,"PDFBOX-3058 Text extraction garbled in this file, was OK in 1.8",Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/19/2015 20:34,3/17/2016 19:07,
Bug,,PDFBOX-3124,pdfbox library,Unassigned,uday kiran,Critical,Closed,Cannot Reproduce,11/20/2015 13:15,12/4/2015 6:33,
Sub-task,,PDFBOX-3125,PDFBOX-3058 IndexOutOfBoundsException in PDFont.getWidth(),Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/21/2015 13:44,3/17/2016 19:08,
Sub-task,,PDFBOX-3126,PDFBOX-3058 IndexOutOfBoundsException in PfbParser.parsePfb,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/21/2015 16:15,3/17/2016 19:08,
Sub-task,,PDFBOX-3127,PDFBOX-3058 Text with vertical font not extracted correctly,Andreas Lehmkühler,Tilman Hausherr,Major,Closed,Fixed,11/23/2015 21:53,3/17/2016 19:07,
Bug,,PDFBOX-3128,Latest Apache Tika can't be used together with PDFBox 2.0,Andreas Lehmkühler,Krisztian Mangold,Blocker,Closed,Invalid,11/24/2015 9:24,11/24/2015 16:03,
Sub-task,,PDFBOX-3129,PDFBOX-3058 NullPointerException in PDFStreamEngine.showText(),Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/24/2015 16:51,3/17/2016 19:06,
Bug,,PDFBOX-3130,"Recent regression in PDFTextStripper, text getting garbled",Tilman Hausherr,Fred Andrews,Major,Closed,Fixed,11/24/2015 19:34,3/17/2016 19:07,
Improvement,,PDFBOX-3131,Reduce amount of intermediate data and objects to reduce memory footprint/complexity,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,11/24/2015 20:21,3/17/2016 19:07,
Improvement,,PDFBOX-3132,Cannot extract text which font is Type0 with predefined CJK CMap,Unassigned,Raymond Wu,Major,Closed,Won't Fix,11/25/2015 11:53,11/26/2015 2:27,
Improvement,,PDFBOX-3133,PDFBox 2.0.0-RC2 and earlier 2.0.0 SNAPSHOT Versions print performance is poor with systems having low RAM < 3GB and lower number of fonts.,John Hewson,Sridhar,Major,Closed,Not A Problem,11/25/2015 15:13,12/11/2015 19:47,
Bug,,PDFBOX-3134,'Certain' PDF Extraction issue on double letters (i.e. 'ss' ) - drops second letter,Unassigned,Raymond Cabrera,Major,Closed,Cannot Reproduce,11/25/2015 17:38,11/30/2015 19:45,
Bug,,PDFBOX-3135,False negative with 2503.pdf file of issue PDFBOX-2503,Unassigned,Antoine Ribes,Minor,Open,Unresolved,11/26/2015 11:54,1/29/2016 18:33,
Bug,,PDFBOX-3136,"False negative on PDF/A-1A with wrongly given causes "" Invalid graphics object, DestOutputProfile isn't a valid ICCProfile: Invalid ICC Profile Data"" and ""Invalid Color space, The operator ""rg"" can't be used with CMYK Profile""",Tilman Hausherr,Antoine Ribes,Major,Closed,Not A Problem,11/26/2015 18:21,12/3/2015 19:38,
Improvement,,PDFBOX-3137,Reduce/remove dependency on commons.io in preflight/xmpbox,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,11/29/2015 15:16,3/17/2016 19:08,
Bug,,PDFBOX-3138,PDTextField doesn't accept any Hebrew characters as new value,Maruan Sahyoun,Gilad Denneboom,Major,Open,Unresolved,11/29/2015 21:24,4/6/2017 5:50,
Bug,,PDFBOX-3139,Custom FontMapper cant be used,John Hewson,simon steiner,Major,Closed,Fixed,11/30/2015 9:08,3/17/2016 19:08,
Bug,,PDFBOX-3140,Different fallback font rendering first and second time,Andreas Lehmkühler,Tilman Hausherr,Minor,Closed,Fixed,11/30/2015 19:48,3/17/2016 19:07,
Bug,,PDFBOX-3141,Link annotation borders not rendered,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,11/30/2015 20:26,3/17/2016 19:08,
Bug,,PDFBOX-3142,PDFMergerUtility with scratch file generates result with blank pages for certain source files.,Andreas Lehmkühler,Jim deVos,Major,Closed,Fixed,12/1/2015 1:28,3/17/2016 19:08,
Bug,,PDFBOX-3143,Added PDEmbeddedFile constructor with COSName parameter,Tilman Hausherr,Philip Helger,Major,Closed,Fixed,12/1/2015 11:42,3/17/2016 19:07,
Bug,,PDFBOX-3144,NullPointerException in TTFSubsetter,John Hewson,Philip Helger,Major,Closed,Fixed,12/1/2015 15:41,3/17/2016 19:08,
Bug,,PDFBOX-3145,Security manager fails for .pdfbox.cache,John Hewson,simon steiner,Major,Closed,Fixed,12/1/2015 16:34,3/17/2016 19:06,
Bug,,PDFBOX-3146,Ink annotation borders not rendered,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,12/1/2015 19:48,3/17/2016 19:08,
Bug,,PDFBOX-3147,PDFBox fail to write Thai character properly,Unassigned,Nattapong Sirilappanich,Major,Open,Unresolved,12/2/2015 5:37,12/11/2015 19:53,
Bug,,PDFBOX-3148,Multiline fields won't get rendered correctly if there are multiple paragraphs in field value,Maruan Sahyoun,Marko Kattelus,Major,Closed,Fixed,12/2/2015 10:58,3/17/2016 19:06,
Bug,,PDFBOX-3149,Failure to decrypt empty strings (AES 128),Tilman Hausherr,Jesse Long,Minor,Closed,Fixed,12/2/2015 12:24,3/17/2016 19:07,
Bug,,PDFBOX-3150,IllegalArgumentException in getStringWidth/showText,John Hewson,Philip Helger,Major,Closed,Not A Problem,12/2/2015 13:48,12/11/2015 19:54,
Bug,,PDFBOX-3151,getStringWidth is terribly slow (and resulting document is invalid),Andreas Lehmkühler,Philip Helger,Major,Closed,Fixed,12/2/2015 14:12,3/17/2016 19:07,
Bug,,PDFBOX-3152,NullPointerException in PDType1Font.encode() with centered dot,John Hewson,Tilman Hausherr,Major,Closed,Fixed,12/3/2015 18:24,3/17/2016 19:07,
Bug,,PDFBOX-3153,Direct JPEG extraction results in invalid images in 2.0.0 releases.,Tilman Hausherr,John Logan,Major,Closed,Fixed,12/4/2015 23:44,1/18/2016 12:01,
Bug,,PDFBOX-3154,PDDocumentCatalog.getDocumentCatalog().getPages().getCount() returns 0 - first page is -1,John Hewson,Aleksander Blomskøld,Major,Closed,Fixed,12/7/2015 9:43,3/17/2016 19:07,
